NewLocationID,GMU,perc_forest,Elevation__10m2,TRI,elk_perday,lagomorphs_perday,moose_perday,whitetaileddeer_perday
GMU6_U_133,GMU6,1,1149,3.375,0,0,0,0
GMU6_U_134,GMU6,1,1336,4.625,14.8,0,0,0
GMU6_U_135,GMU6,1,1365,3.25,0,0,0,0
GMU6_U_136,GMU6,0.973,866,0,1.3,0,0,7.8
GMU6_U_137,GMU6,0.973,1418,1.125,6.5,0,10.8,12.9
GMU6_U_138,GMU6,1,1293,6.625,0,0,0,0
GMU6_U_139,GMU6,0.568,1260,3.5,5.2,13.1,0,5.2
GMU6_U_14,GMU6,0.595,1610,3.25,19.5,0,14.3,31.2
GMU6_U_140,GMU6,1,1285,2.125,8.7,0,8.7,52.2
GMU6_U_141,GMU6,1,1395,3.25,6.5,0,5.2,157.1
GMU6_U_142,GMU6,0.378,1000,0,67.7,3.1,24.6,101.5
GMU6_U_143,GMU6,0.162,1074,2.25,0,0,1.3,1.3
GMU6_U_144,GMU6,0.865,1425,1.625,1.3,0,24.7,59.7
GMU6_U_145,GMU6,1,1353,4.125,1.8,0,0,0
GMU6_U_146,GMU6,1,1125,1.625,9.9,0,5.9,7.9
GMU6_U_147,GMU6,1,1622,2,11.8,0,0,27.5
GMU6_U_148,GMU6,1,1561,1.25,90.9,19.5,5.2,59.7
GMU6_U_149,GMU6,0,1406,2.75,0,0,0,41.5
GMU6_U_151,GMU6,0,999,2.25,32.5,0,1.3,72.7
GMU6_U_152,GMU6,1,1532,0.875,26.3,0,8.1,36.4
GMU6_U_153,GMU6,1,1248,3.75,0,0,0,0
GMU6_U_155,GMU6,1,1207,2.375,0,0,0,35.1
GMU6_U_157,GMU6,1,1183,2.375,0,3.8,0,3.8
GMU6_U_159,GMU6,1,1175,2.75,11.7,0,0,15.6
GMU6_U_16,GMU6,1,1545,4.125,0,0,0,0
GMU6_U_160,GMU6,0.973,1509,3.25,7.3,0,13.1,23.4
GMU6_U_161,GMU6,0.919,1291,3.25,1.3,1.3,0,7.8
GMU6_U_162,GMU6,0.27,1450,2.5,19.5,0,0,3.9
GMU6_U_164,GMU6,0,1495,3.375,6.2,0,0,72.2
GMU6_U_166,GMU6,1,1444,4.75,16.3,0,0,9.3
GMU6_U_167,GMU6,0,856,1.125,0,0,0,23.1
GMU6_U_168,GMU6,1,1547,3.625,0,0,0,0
GMU6_U_169,GMU6,1,1137,3.125,0,2.1,0,18.6
GMU6_U_17,GMU6,0,922,1.5,20.5,0,1.6,3.1
GMU6_U_18,GMU6,1,1021,3,6.5,0,1.3,2.6
GMU6_U_19,GMU6,1,1375,1.25,2.6,5.2,0,32.5
GMU6_U_2,GMU6,0.865,919,1.125,5.2,0,1.3,13
GMU6_U_20,GMU6,0.541,1044,2.125,3.9,0,1.3,3.9
GMU6_U_22,GMU6,1,1009,0.5,26,0,5.2,22.1
GMU6_U_23,GMU6,1,1316,1.75,400,0,0,1600
GMU6_U_24,GMU6,1,958,2.375,16.9,0,0,71.4
GMU6_U_25,GMU6,0.378,1487,5.75,1.6,0,0,3.1
GMU6_U_26,GMU6,0.27,1650,2.625,37.3,0,0,16
GMU6_U_27,GMU6,0.973,1024,2.875,17.6,0,0,17.6
GMU6_U_28,GMU6,1,1447,1.375,2.6,0,2.6,0
GMU6_U_29,GMU6,1,1095,2.5,0,0,0,0
GMU6_U_3,GMU6,1,936,4,0,0,1.7,0
GMU6_U_30,GMU6,0.919,1522,3.875,12.5,0,0,25
GMU6_U_31,GMU6,1,914,0.375,15.6,0,0,14.3
GMU6_U_32,GMU6,1,1730,2,34.6,0,3.1,31.5
GMU6_U_33,GMU6,1,1105,2.75,2.6,1.3,0,0
GMU6_U_34,GMU6,0.027,942,0.75,32.5,0,0,64.9
GMU6_U_35,GMU6,0.162,946,0.75,5.2,0,1.3,37.9
GMU6_U_36,GMU6,0.919,1068,3,0,0,0,0
GMU6_U_37,GMU6,1,1738,1.75,17.9,0,8.3,2.8
GMU6_U_38,GMU6,0.27,1489,4.75,3.3,0,1.7,5
GMU6_U_4,GMU6,1,1107,1.75,14.3,0,0,53.2
GMU6_U_40,GMU6,1,918,1.75,0,0,0,0
GMU6_U_41,GMU6,1,1276,2.375,1.3,16.9,0,51.9
GMU6_U_42,GMU6,0.973,1017,5,0,0,0,0
GMU6_U_43,GMU6,0.973,980,2.625,42.1,0,0,5.3
GMU6_U_44,GMU6,1,1124,2.5,3.9,11.7,0,31.2
GMU6_U_45,GMU6,0.973,1212,1.875,19.5,0,0,31.2
GMU6_U_46,GMU6,0,902,1,10.4,0,5.2,36.4
GMU6_U_48,GMU6,1,1679,1.25,4,0,12.1,10.1
GMU6_U_49,GMU6,0.811,906,3.125,0,0,0,0
GMU6_U_5,GMU6,1,1333,3.375,0,1.3,0,0
GMU6_U_50,GMU6,1,1089,2.625,7.8,0,0,6.5
GMU6_U_51,GMU6,1,1316,3.375,0,0,0,31.2
GMU6_U_53,GMU6,1,1540,1.875,10.4,0,3.9,7.8
GMU6_U_54,GMU6,1,1150,4.125,7.6,0,0,0
GMU6_U_55,GMU6,0,1228,4.125,1.3,0,0,11.7
GMU6_U_56,GMU6,1,1143,2.375,0,0,0,33.3
GMU6_U_57,GMU6,1,1387,4.625,0,0,0,0
GMU6_U_58,GMU6,1,1199,4,10.4,14.3,1.3,5.2
GMU6_U_59,GMU6,1,894,0.75,0,0,1.3,62.3
GMU6_U_6,GMU6,0.811,925,1.375,9.1,0,0,57.1
GMU6_U_60,GMU6,1,1694,2.125,22.5,0,1.3,22.5
GMU6_U_61,GMU6,0.649,1183,2.75,0,0,0,0
GMU6_U_62,GMU6,0.757,672,6,0,0,1.3,1.3
GMU6_U_63,GMU6,0.973,995,2.25,6.5,1.3,3.9,9.1
GMU6_U_64,GMU6,1,1880,1.125,16.1,0,4.4,46.7
GMU6_U_65,GMU6,1,1091,4.625,24.2,6.1,0,0
GMU6_U_66,GMU6,0,913,2.125,16.9,0,1.3,15.6
GMU6_U_67,GMU6,0.838,791,3.375,3.9,51.9,0,7.8
GMU6_U_68,GMU6,0.811,911,1.375,1.3,0,16.9,93.5
GMU6_U_69,GMU6,0.081,1537,5.75,5.8,0,0,5.8
GMU6_U_7,GMU6,0.081,869,3.625,9.3,0,0,18.7
GMU6_U_70,GMU6,1,1159,3.25,28.6,0,0,0
GMU6_U_71,GMU6,0,789,3.75,0,0,0,6.5
GMU6_U_72,GMU6,1,1499,3.125,43.3,2.1,8.2,37.1
GMU6_U_73,GMU6,0.811,1144,5.25,0,19.5,0,0
GMU6_U_74,GMU6,1,1242,1.875,0,7.7,0,15.4
GMU6_U_75,GMU6,1,1239,2.25,7.8,0,3.9,0
GMU6_U_76,GMU6,1,990,3.5,1.3,0,0,3.9
GMU6_U_77,GMU6,0.405,1526,0.25,32.5,0,0,62.3
GMU6_U_78,GMU6,0,976,0.75,45.5,0,1.3,83.1
GMU6_U_79,GMU6,1,1310,2.75,13,0,14.3,11.7
GMU6_U_8,GMU6,0.649,888,1,30.3,0,0,96.6
GMU6_U_80,GMU6,0.973,1690,2.625,2.6,0,0,2.6
GMU6_U_82,GMU6,0.027,906,1.625,1.3,0,0,79.2
GMU6_U_83,GMU6,0.946,1195,2.375,1.3,1.3,0,7.8
GMU6_U_84,GMU6,0.946,983,1.25,10.4,1.3,0,37.7
GMU6_U_85,GMU6,0.703,1627,2.25,11.4,0,0,1.6
GMU6_U_86,GMU6,1,1366,4.5,1.3,0,0,1.3
GMU6_U_87,GMU6,0.649,1502,1.75,28.6,0,3.9,0
GMU6_U_89,GMU6,1,1264,3.625,14.3,0,0,21.4
GMU6_U_9,GMU6,0.432,1495,5,1.7,0,1.7,0
GMU6_U_90,GMU6,1,1281,4.5,13.7,0,15.4,18.8
GMU6_U_92,GMU6,0,981,1.5,138.9,0,2.1,166.3
GMU6_U_93,GMU6,0,1343,2.5,11.3,0,0,0
GMU6_U_96,GMU6,0.811,1645,2,1.5,0,1.5,0
GMU6_U_97,GMU6,1,1180,2.875,0,0,0,1.7
GMU6_U_99,GMU6,0.73,984,2.875,0,0,0,0
